CPTCode,ShortDescription
15842,Nerve palsy microsurg graft
15845,"Skin and muscle repair, face"
15847,Exc skin abd add-on
15850,Remove sutures same surgeon
15851,Remove sutures diff surgeon
15852,Dressing change not for burn
15860,Test for blood flow in graft
15876,Suction lipectomy head&neck
15877,Suction lipectomy trunk
15878,Suction lipectomy upr extrem
15879,Suction lipectomy lwr extrem
15920,Removal of tail bone ulcer
15922,Removal of tail bone ulcer
15931,Remove sacrum pressure sore
15933,Remove sacrum pressure sore
15934,Remove sacrum pressure sore
15935,Remove sacrum pressure sore
15936,Remove sacrum pressure sore
15937,Remove sacrum pressure sore
15940,Remove hip pressure sore
15941,Remove hip pressure sore
15944,Remove hip pressure sore
15945,Remove hip pressure sore
15946,Remove hip pressure sore
15950,Remove thigh pressure sore
15951,Remove thigh pressure sore
15952,Remove thigh pressure sore
15953,Remove thigh pressure sore
15956,Remove thigh pressure sore
15958,Remove thigh pressure sore
15999,Removal of pressure sore
16000,Initial treatment of burn(s)
16020,"Dress/debrid p-thick burn, s"
16025,"Dress/debrid p-thick burn, m"
16030,"Dress/debrid p-thick burn, l"
16035,"Incision of burn scab, initi"
16036,Escharotomy addl incision
17000,Destruct premalg lesion
17003,"Destruct premalg les, 2-14"
17004,Destroy premal lesions 15/>
17106,Destruction of skin lesions
17107,Destruction of skin lesions
17108,Destruction of skin lesions
17110,"Destruct B9 lesion, 1-14"
17111,"Destruct lesion, 15 or more"
17250,"Chemical cautery, tissue"
17260,Destruction of skin lesions
17261,Destruction of skin lesions
17262,Destruction of skin lesions
17263,Destruction of skin lesions
17264,Destruction of skin lesions
17266,Destruction of skin lesions
17270,Destruction of skin lesions
17271,Destruction of skin lesions
17272,Destruction of skin lesions
17273,Destruction of skin lesions
17274,Destruction of skin lesions
17276,Destruction of skin lesions
17280,Destruction of skin lesions
17281,Destruction of skin lesions
17282,Destruction of skin lesions
17283,Destruction of skin lesions
17284,Destruction of skin lesions
17286,Destruction of skin lesions
17311,"Mohs, 1 stage, h/n/hf/g"
17312,Mohs addl stage
17313,"Mohs, 1 stage, t/a/l"
17314,"Mohs, addl stage, t/a/l"
17315,"Mohs surg, addl block"
17340,Cryotherapy of skin
17360,Skin peel therapy
17380,Hair removal by electrolysis
17999,Skin tissue procedure
19000,Drainage of breast lesion
19001,Drain breast lesion add-on
19020,Incision of breast lesion
19030,Injection for breast X-ray
19081,Bx breast 1st lesion strtctc
19082,Bx breast add lesion strtctc
19083,Bx breast 1st lesion US imag
19084,Bx breast add lesion US imag
19085,Bx breast 1st lesion MR imag
19086,Bx breast add lesion MR imag
19100,Bx breast percut w/o image
19101,"Biopsy of breast, open"
19105,"Cryosurg ablate fa, each"
19110,Nipple exploration
19112,Excise breast duct fistula
19120,Removal of breast lesion
19125,"Excision, breast lesion"
19126,"Excision, addl breast lesion"
19260,Removal of chest wall lesion
19271,Revision of chest wall
19272,Extensive chest wall surgery
19281,Perq device breast 1st imag
19282,Perq device breast ea imag
19283,Perq dev breast 1st strtctc
19284,Perq dev breast add strtctc
19285,Perq dev breast 1st US imag
19286,Perq dev breast add US imag
19287,Perq dev breast 1st MR guide
19288,Perq dev breast add MR guide
19296,Place po breast cath for rad
19297,Place breast cath for rad
19300,Removal of breast tissue
19301,Partial mastectomy
19302,P-mastectomy w/ln removal
19303,"Mast, simple, complete"
19304,"Mast, subq"
19305,"Mast, radical"
19306,"Mast, rad, urban type"
19307,"Mast, mod rad"
19316,Suspension of breast
19318,Reduction of large breast
19324,Enlarge breast
19325,Enlarge breast with implant
19328,Removal of breast implant
19330,Removal of implant material
19340,Immediate breast prosthesis
19342,Delayed breast prosthesis
19350,Breast reconstruction
19355,Correct inverted nipple(s)
19357,Breast reconstruction
19361,Breast reconstr w/lat flap
19364,Breast reconstruction
19366,Breast reconstruction
19367,Breast reconstruction
19368,Breast reconstruction
19369,Breast reconstruction
19370,Surgery of breast capsule
19371,Removal of breast capsule
19380,Revise breast reconstruction
19396,Design custom breast implant
19499,Breast surgery procedure
20005,I&d abscess subfascial
2001F,Weight record
2004F,Initial exam involved joints
20100,"Explore wound, neck"
20101,"Explore wound, chest"
20102,"Explore wound, abdomen"
20103,"Explore wound, extremity"
2010F,Vital signs recorded
2014F,Mental status assess
20150,Excise epiphyseal bar
2015F,Asthma impairment assessed
2016F,Asthma risk assessed
2018F,Hydration status assess
20200,Muscle biopsy
20205,Deep muscle biopsy
20206,"Needle biopsy, muscle"
2020F,Dilated fundus eval done
20220,"Bone biopsy, trocar/needle"
20225,"Bone biopsy, trocar/needle"
2022F,Dil retina exam interp rev
2024F,7 field photo interp doc rev
20250,Open bone biopsy
20251,Open bone biopsy
2026F,Eye image valid to dx rev
2027F,Optic nerve head eval done
2028F,Foot exam performed
2029F,Complete phys skin exam done
2030F,H2O stat docd normal
2031F,H2O stat docd dehydrated
2035F,Tymp memb motion examd
2040F,Bk pn exm on init visit date
2044F,Doc mntl tst b/4 bk trxmnt
20500,Injection of sinus tract
20501,Inject sinus tract for X-ray
20520,Removal of foreign body
20525,Removal of foreign body
20526,"Ther injection, carp tunnel"
20527,Inj Dupuytren cord w/enzyme
20551,Inj tendon origin/insertion
20552,"Inj trigger point, 1/2 muscl"
20555,Place ndl musc/tis for rt
20600,Drain/inj joint/bursa w/o US
20604,Drain/inj joint/bursa w/US
20605,Drain/inj joint/bursa w/o US
20606,Drain/inj joint/bursa w/US
2060F,Pt talk eval hlthwkr re MDD
20610,Drain/inj joint/bursa w/o US
20611,Drain/inj joint/bursa w/US
20612,Aspirate/inj ganglion cyst
20615,Treatment of bone cyst
20650,Insert and remove bone pin
20660,"Apply, rem fixation device"
20661,Application of head brace
20662,Application of pelvis brace
20663,Application of thigh brace
20664,Application of halo
20665,Removal of fixation device
20670,Removal of support implant
20680,Removal of support implant
20690,Apply bone fixation device
20692,Apply bone fixation device
20693,Adjust bone fixation device
20694,Remove bone fixation device
20696,Comp multiplane ext fixation
20697,Comp ext fixate strut change
20802,"Replantation, arm, complete"
20805,"Replant forearm, complete"
20808,"Replantation hand, complete"
20816,"Replantation digit, complete"
20822,"Replantation digit, complete"
20824,"Replantation thumb, complete"
20827,"Replantation thumb, complete"
20838,"Replantation foot, complete"
20900,Removal of bone for graft
20902,Removal of bone for graft
20910,Remove cartilage for graft
20912,Remove cartilage for graft
20920,Removal of fascia for graft
20922,Removal of fascia for graft
20924,Removal of tendon for graft
20926,Removal of tissue for graft
20930,Sp bone algrft morsel add-on
20931,Sp bone algrft struct add-on
20936,Sp bone agrft local add-on
20937,Sp bone agrft morsel add-on
20938,Sp bone agrft struct add-on
20950,"Fluid pressure, muscle"
20955,"Fibula bone graft, microvasc"
20956,"Iliac bone graft, microvasc"
20957,"Mt bone graft, microvasc"
20962,"Other bone graft, microvasc"
20969,"Bone/skin graft, microvasc"
20970,"Bone/skin graft, iliac crest"
20972,"Bone/skin graft, metatarsal"
20973,"Bone/skin graft, great toe"
20974,Electrical bone stimulation
20975,Electrical bone stimulation
20979,US bone stimulation
20982,"Ablate, bone tumor(s) perq"
20983,Ablate bone tumor(s) perq
20985,Cptr-asst dir ms px
20999,Musculoskeletal surgery
21010,Incision of jaw joint
21011,Exc face les sc < 2 cm
21012,Exc face les sbq 2 cm/>
21013,Exc face tum deep < 2 cm
21014,Exc face tum deep 2 cm/>
21015,Resect face/scalp tum < 2 cm
21016,Resect face/scalp tum 2 cm/>
21025,"Excision of bone, lower jaw"
21026,Excision of facial bone(s)
21029,Contour of face bone lesion
21030,Excise max/zygoma b9 tumor
21031,"Remove exostosis, mandible"
21032,"Remove exostosis, maxilla"
21034,Excise max/zygoma mal tumor
21040,Excise mandible lesion
21044,Removal of jaw bone lesion
21045,Extensive jaw surgery
21046,Remove mandible cyst complex
21047,Excise lwr jaw cyst w/repair
21048,Remove maxilla cyst complex
21049,Excis uppr jaw cyst w/repair
21050,Removal of jaw joint
21060,Remove jaw joint cartilage
21070,Remove coronoid process
21073,Mnpj of TMJ w/anesth
21076,Prepare face/oral prosthesis
21077,Prepare face/oral prosthesis
21079,Prepare face/oral prosthesis
21080,Prepare face/oral prosthesis
21081,Prepare face/oral prosthesis
21082,Prepare face/oral prosthesis
21083,Prepare face/oral prosthesis
21084,Prepare face/oral prosthesis
21085,Prepare face/oral prosthesis
21086,Prepare face/oral prosthesis
21087,Prepare face/oral prosthesis
21088,Prepare face/oral prosthesis
21089,Prepare face/oral prosthesis
21100,Maxillofacial fixation
21110,Interdental fixation
21116,"Injection, jaw joint X-ray"
21120,Reconstruction of chin
21121,Reconstruction of chin
21122,Reconstruction of chin
21123,Reconstruction of chin
21125,"Augmentation, lower jaw bone"
21127,"Augmentation, lower jaw bone"
21137,Reduction of forehead
21138,Reduction of forehead
21139,Reduction of forehead
21141,LeFort I-1 piece w/o graft
21142,LeFort I-2 piece w/o graft
21143,LeFort I >= 3piece w/o graft
21145,LeFort I-1 piece w/ graft
21146,LeFort I-2 piece w/ graft
21147,LeFort I >= 3 piece w/ graft
21150,LeFort II anterior intrusion
21151,LeFort II w/ bone grafts
21154,LeFort III w/o LeFort I
21155,LeFort III w/ LeFort I
21159,LeFort III w/fhdw/o LeFort I
21160,LeFort III w/fhd w/ LeFort I
21172,Reconstruct orbit/forehead
21175,Reconstruct orbit/forehead
21179,Reconstruct entire forehead
21180,Reconstruct entire forehead
21181,Contour cranial bone lesion
21182,Reconstruct cranial bone
21183,Reconstruct cranial bone
21184,Reconstruct cranial bone
21188,Reconstruction of midface
21193,Reconst lwr jaw w/o graft
21194,Reconst lwr jaw w/graft
21195,Reconst lwr jaw w/o fixation
21196,Reconst lwr jaw w/fixation
21198,Reconstr lwr jaw segment
21199,Reconstr lwr jaw w/advance
21206,Reconstruct upper jaw bone
21208,Augmentation of facial bones
21209,Reduction of facial bones
21210,Face bone graft
21215,Lower jaw bone graft
21230,Rib cartilage graft
21235,Ear cartilage graft
21240,Reconstruction of jaw joint
21242,Reconstruction of jaw joint
21243,Reconstruction of jaw joint
21244,Reconstruction of lower jaw
21245,Reconstruction of jaw
21246,Reconstruction of jaw
21247,Reconstruct lower jaw bone
21248,Reconstruction of jaw
21249,Reconstruction of jaw
21255,Reconstruct lower jaw bone
21256,Reconstruction of orbit
21260,Revise eye sockets
21261,Revise eye sockets
21263,Revise eye sockets
21267,Revise eye sockets
21268,Revise eye sockets
21270,"Augmentation, cheek bone"
21275,"Revision, orbitofacial bones"
21280,Revision of eyelid
21282,Revision of eyelid
21295,Revision of jaw muscle/bone
21296,Revision of jaw muscle/bone
21299,Cranio/maxillofacial surgery
21310,Closed tx nose fx w/o manj
21315,Closed tx nose fx w/o stablj
21320,Closed tx nose fx w/ stablj
21325,Open tx nose fx uncomplicatd
21330,Open tx nose fx w/skele fixj
21335,Open tx nose & septal fx
21336,Open tx septal fx w/wo stabj
21337,Closed tx septal&nose fx
21338,Open nasoethmoid fx w/o fixj
21339,Open nasoethmoid fx w/ fixj
21340,Perq tx nasoethmoid fx
21343,Open tx dprsd front sinus fx
21344,Open tx compl front sinus fx
21345,Closed tx nose/jaw fx
21346,Opn tx nasomax fx w/fixj
21347,Opn tx nasomax fx multiple
21348,Open tx nasomax fx w/ graft
21355,Perq tx malar fracture
21356,Open tx dprsd zygomatic arch
21360,Open tx dprsd malar fracture
21365,Open tx complex malar fx
21366,Open tx complex malar w/grft
21385,Open tx orbit fx transantral
21386,Open tx orbit fx periorbital
21387,Open tx orbit fx combined
21390,Open tx orbit periorbtl impl
21395,Open tx orbit periorbt w/grf
21400,Closed tx orbit w/o manipulj
21401,Closed tx orbit w/ manipulj
21406,Open tx orbit fx w/o implant
21407,Open tx orbit fx w/ implant
21408,Opn tx orbit fx w/bone graft
21421,Treat mouth roof fracture
21422,Treat mouth roof fracture
21423,Treat mouth roof fracture
21431,Treat craniofacial fracture
21432,Treat craniofacial fracture
21433,Treat craniofacial fracture
21435,Treat craniofacial fracture
21436,Treat craniofacial fracture
21440,Treat dental ridge fracture
21445,Treat dental ridge fracture
21450,Treat lower jaw fracture
21451,Treat lower jaw fracture
21452,Treat lower jaw fracture
21453,Treat lower jaw fracture
21454,Treat lower jaw fracture
21461,Treat lower jaw fracture
21462,Treat lower jaw fracture
21465,Treat lower jaw fracture
21470,Treat lower jaw fracture
21480,Reset dislocated jaw
21485,Reset dislocated jaw
21490,Repair dislocated jaw
21497,Interdental wiring
21499,Head surgery procedure
21501,Drain neck/chest lesion
21502,Drain chest lesion
21510,Drainage of bone lesion
21550,Biopsy of neck/chest
21552,Exc neck les sc 3 cm/>
21554,Exc neck tum deep 5 cm/>
21555,Exc neck les sc < 3 cm
21556,Exc neck tum deep < 5 cm
21557,Resect neck thorax tumor<5cm
21558,Resect neck tumor 5 cm/>
21600,Partial removal of rib
21610,Partial removal of rib
21615,Removal of rib
21616,Removal of rib and nerves
21620,Partial removal of sternum
21627,Sternal debridement
21630,Extensive sternum surgery
21632,Extensive sternum surgery
21685,Hyoid myotomy & suspension
21700,Revision of neck muscle
21705,Revision of neck muscle/rib
21720,Revision of neck muscle
21725,Revision of neck muscle
21740,Reconstruction of sternum
21742,Repair stern/Nuss w/o scope
21743,Repair sternum/Nuss w/scope
21750,Repair of sternum separation
21811,Optx of rib fx w/fixj scope
21812,Treatment of rib fracture
21813,Treatment of rib fracture
21820,Treat sternum fracture
21825,Treat sternum fracture
21899,Neck/chest surgery procedure
21920,Biopsy soft tissue of back
21925,Biopsy soft tissue of back
21930,Exc back les sc < 3 cm
21931,Exc back les sc 3 cm/>
21932,Exc back tum deep < 5 cm
21933,Exc back tum deep 5 cm/>
21935,Resect back tum < 5 cm
21936,Resect back tum 5 cm/>
22010,"I&D, p-spine, c/t/cerv-thor"
22015,"I&D abscess p-spine, l/s/ls"
22100,Remove part of neck vertebra
22101,"Remove part, thorax vertebra"
22102,"Remove part, lumbar vertebra"
22103,Remove extra spine segment
22110,Remove part of neck vertebra
22112,"Remove part, thorax vertebra"
22114,"Remove part, lumbar vertebra"
22116,Remove extra spine segment
22206,Incis spine 3 column thorac
22207,Incis spine 3 column lumbar
22208,Incis spine 3 column adl seg
22210,Incis 1 vertebral seg cerv
22212,Incis 1 vertebral seg thorac
22214,Incis 1 vertebral seg lumbar
22216,Incis addl spine segment
22220,Incis w/discectomy cervical
22222,Incis w/ discectomy thoracic
22224,Incis w/ discectomy lumbar
22226,"Revise, extra spine segment"
22310,Closed tx vert fx w/o manj
22315,Closed tx vert fx w/ manj
22318,Treat odontoid fx w/o graft
22319,Treat odontoid fx w/graft
22325,Treat spine fracture
22326,Treat neck spine fracture
22327,Treat thorax spine fracture
22328,Treat each add spine fx
22505,Manipulation of spine
22510,Perq cervicothoracic inject
22511,Perq lumbosacral injection
22512,Vertebroplasty addl inject
22513,Perq vertebral augmentation
22514,Perq vertebral augmentation
22515,Perq vertebral augmentation
22526,"IDET, single level"
22527,"IDET, 1 or more levels"
22532,Lat thorax spine fusion
22533,Lat lumbar spine fusion
22534,"Lat thor/lumb, addl seg"
22548,Neck spine fusion
22551,Neck spine fuse&remov bel C2
22552,Addl neck spine fusion
22554,Neck spine fusion
22556,Thorax spine fusion
22558,Lumbar spine fusion
22585,Additional spinal fusion
22586,Prescrl fuse w/ instr L5-S1
22590,Spine & skull spinal fusion
22595,Neck spinal fusion
22600,Neck spine fusion
22610,Thorax spine fusion
22612,Lumbar spine fusion
22614,"Spine fusion, extra segment"
22630,Lumbar spine fusion
22632,"Spine fusion, extra segment"
22633,Lumbar spine fusion combined
22634,Spine fusion extra segment
22800,Post fusion <= 6 vert seg
22802,Post fusion 7-12 vert seg
22804,Post fusion >= 13 vert seg
22808,Ant fusion 2-3 vert seg
22810,Ant fusion 4-7 vert seg
22812,Ant fusion >= 8 vert seg
22818,"Kyphectomy, 1-2 segments"
22819,"Kyphectomy, 3 or more"
22830,Exploration of spinal fusion
22840,Insert spine fixation device
22841,Insert spine fixation device
22842,Insert spine fixation device
22843,Insert spine fixation device
22844,Insert spine fixation device
22845,Insert spine fixation device
22846,Insert spine fixation device
22847,Insert spine fixation device
22848,Insert pelv fixation device
22849,Reinsert spinal fixation
22850,Remove spine fixation device
22852,Remove spine fixation device
22855,Remove spine fixation device
22856,Cerv artific diskectomy
22857,Lumbar artif diskectomy
22858,Second level cer diskectomy
22861,Revise cerv artific disc
22862,Revise lumbar artif disc
22864,Remove cerv artif disc
22865,Remove lumb artif disc
22899,Spine surgery procedure
22900,Exc abdl tum deep < 5 cm
22901,Exc abdl tum deep 5 cm/>
22902,Exc abd les sc < 3 cm
22903,Exc abd les sc 3 cm/>
22904,Radical resect abd tumor<5cm
22905,Rad resect abd tumor >= 5 cm
22999,Abdomen surgery procedure
23000,Removal of calcium deposits
23020,Release shoulder joint
23030,Drain shoulder lesion
23031,Drain shoulder bursa
23035,Drain shoulder bone lesion
23040,Exploratory shoulder surgery
23044,Exploratory shoulder surgery
23065,Biopsy shoulder tissues
23066,Biopsy shoulder tissues
23071,Exc shoulder les sc 3 cm/>
23073,Exc shoulder tum deep 5 cm/>
23075,Exc shoulder les sc < 3 cm
23076,Exc shoulder tum deep < 5 cm
23077,Resect shoulder tumor < 5 cm
23078,Resect shoulder tumor 5 cm/>
23100,Biopsy of shoulder joint
23101,Shoulder joint surgery
23105,Remove shoulder joint lining
23106,Incision of collarbone joint
23107,Explore treat shoulder joint
23120,"Partial removal, collar bone"
23125,Removal of collar bone
23130,"Remove shoulder bone, part"
23140,Removal of bone lesion
23145,Removal of bone lesion
23146,Removal of bone lesion
23150,Removal of humerus lesion
23155,Removal of humerus lesion
23156,Removal of humerus lesion
23170,Remove collar bone lesion
23172,Remove shoulder blade lesion
23174,Remove humerus lesion
23180,Remove collar bone lesion
23182,Remove shoulder blade lesion
23184,Remove humerus lesion
23190,Partial removal of scapula
23195,Removal of head of humerus
23200,Resect clavicle tumor
23210,Resect scapula tumor
23220,Resect prox humerus tumor
23330,Remove shoulder foreign body
23333,Remove shoulder fb deep
23334,Shoulder prosthesis removal
23335,Shoulder prosthesis removal
23350,Injection for shoulder X-ray
23395,Muscle transfer shoulder/arm
