HCPCSCode,ShortDescription
A6507,Cmprs burngarment foot-knee
A6508,Cmprs burngarment foot-thigh
A6509,Compres burn garment jacket
A6510,Compres burn garment leotard
A6511,Compres burn garment panty
A6512,"Compres burn garment, NOC"
A6513,Compress burn mask face/neck
A6544,Gc stocking garter belt
A6549,G compression stocking
A6550,Neg pres wound ther drsg set
A7000,Disposable canister for pump
A7001,Nondisposable pump canister
A7002,Tubing used w suction pump
A7003,Nebulizer administration set
A7004,Disposable nebulizer sml vol
A7005,Nondisposable nebulizer set
A7006,Filtered nebulizer admin set
A7007,Lg vol nebulizer disposable
A7008,Disposable nebulizer prefill
A7009,Nebulizer reservoir bottle
A7010,Disposable corrugated tubing
A7012,Nebulizer water collec devic
A7013,Disposable compressor filter
A7014,Compressor nondispos filter
A7016,Nebulizer dome & mouthpiece
A7017,Nebulizer not used w oxygen
A7018,Water distilled w/nebulizer
A7020,"Interface, cough stim device"
A7025,Replace chest compress vest
A7026,Replace chst cmprss sys hose
A7027,Combination oral/nasal mask
A7028,Repl oral cushion combo mask
A7029,Repl nasal pillow comb mask
A7030,CPAP full face mask
A7031,Replacement facemask interfa
A7032,Replacement nasal cushion
A7033,Replacement nasal pillows
A7034,Nasal application device
A7035,Pos airway press headgear
A7036,Pos airway press chinstrap
A7037,Pos airway pressure tubing
A7038,Pos airway pressure filter
A7039,"Filter, non disposable w PAP"
A7040,One way chest drain valve
A7041,Water seal drain container
A7042,Implanted pleural catheter
A7043,Vacuum drainagebottle/tubing
A7044,PAP oral interface
A7045,Repl exhalation port for PAP
A7046,"Repl water chamber, PAP dev"
A7047,Resp suction oral interface
A7048,Vacuum drain bottle/tube kit
A7501,Tracheostoma valve w diaphra
A7502,Replacement diaphragm/fplate
A7503,HMES filter holder or cap
A7504,Tracheostoma HMES filter
A7505,HMES or trach valve housing
A7507,Integrated filter & holder
A7508,Housing & Integrated Adhesiv
A7509,Heat & moisture exchange sys
A7522,Trach/laryn tube stainless
A7523,Tracheostomy shower protect
A7524,Tracheostoma stent/stud/bttn
A7525,Tracheostomy mask
A7526,Tracheostomy tube collar
A7527,Trach/laryn tube plug/stop
A8000,Soft protect helmet prefab
A8001,Hard protect helmet prefab
A8002,Soft protect helmet custom
A8003,Hard protect helmet custom
A8004,"Repl soft interface, helmet"
A9150,Misc/exper non-prescript dru
A9152,Single vitamin NOS
A9153,Multi-vitamin NOS
A9155,Artificial saliva
A9180,"Lice treatment, topical"
A9270,Non-covered item or service
A9272,"Disp wound suct, drsg/access"
A9273,Hot/cold H2Obot/cap/col/wrap
A9274,Ext amb insulin delivery sys
A9275,Disp home glucose monitor
A9277,"External transmitter, CGM"
A9278,"External receiver, CGM sys"
A9279,Monitoring feature/deviceNOC
A9280,"Alert device, NOC"
A9281,Reaching/grabbing device
A9282,Wig any type
A9283,Foot press off load supp dev
A9284,Non-electronic spirometer
A9300,Exercise equipment
A9575,Inj gadoterate meglumi 0.1ml
A9581,Gadoxetate disodium inj
A9583,Gadofosveset trisodium inj
A9584,Iodine I-123 ioflupane
A9585,Gadobutrol injection
A9698,Non-rad contrast materialNOC
A9699,Radiopharm rx agent NOC
A9700,Echocardiography Contrast
B4034,Enter feed supkit syr by day
B4035,Enteral feed supp pump per d
B4036,Enteral feed sup kit grav by
B4081,Enteral ng tubing w/ stylet
B4082,Enteral ng tubing w/o stylet
B4087,"Gastro/jejuno tube, std"
B4088,Gastro/jejuno tube low-pro
B4100,Food thickener oral
B4149,EF blenderized foods
B4150,EF complet w/intact nutrient
B4152,EF calorie dense>/=1.5kcal
B4153,EF hydrolyzed/amino acids
B4154,EF spec metabolic noninherit
B4157,EF special metabolic inherit
B4158,EF ped complete intact nut
B4159,EF ped complete soy based
B4160,EF ped caloric dense>/=0.7kc
B4161,EF ped hydrolyzed/amino acid
B4162,EF ped specmetabolic inherit
B4164,Parenteral 50% dextrose solu
B4168,Parenteral sol amino acid 3.
B4172,Parenteral sol amino acid 5.
B4176,Parenteral sol amino acid 7-
B4178,Parenteral sol amino acid >
B4185,Parenteral sol 10 gm lipids
B4189,Parenteral sol amino acid &
B4193,Parenteral sol 52-73 gm prot
B4197,Parenteral sol 74-100 gm pro
B4199,Parenteral sol > 100gm prote
B4220,Parenteral supply kit premix
B4222,Parenteral supply kit homemi
B4224,Parenteral administration ki
B5000,Parenteral sol renal-amirosy
B9004,Parenteral infus pump portab
B9006,Parenteral infus pump statio
C1300,Hyperbaric oxygen
C1713,"Anchor/screw bn/bn,tis/bn"
C1714,"Cath, trans atherectomy, dir"
C1715,Brachytherapy needle
C1717,"Brachytx non-str, HDR Ir-192"
C1719,"Brachytx NS,Non-HDRIr-192"
C1721,"AICD, dual chamber"
C1722,"AICD, single chamber"
C1724,"Cath, trans atherec,rotation"
C1725,"Cath, translumin non-laser"
C1726,"Cath, bal dil, non-vascular"
C1727,"Cath, bal tis dis, non-vas"
C1728,"Cath, brachytx seed adm"
C1729,"Cath, drainage"
C1749,"Endo, colon, retro imaging"
C1750,"Cath, hemodialysis,long-term"
C1751,"Cath, inf, per/cent/midline"
C1752,"Cath,hemodialysis,short-term"
C1753,"Cath, intravas ultrasound"
C1754,"Catheter, intradiscal"
C1755,"Catheter, intraspinal"
C1756,"Cath, pacing, transesoph"
C1757,"Cath, thrombectomy/embolect"
C1758,"Catheter, ureteral"
C1759,"Cath, intra echocardiography"
C1760,"Closure dev, vasc"
C1762,"Conn tiss, human(inc fascia)"
C1763,"Conn tiss, nonhuman"
C1764,"Event recorder, cardiac"
C1765,Adhesion barrier
C1766,"Intro/sheath,strble,non-peel"
C1767,"Generator, neuro non-recharg"
C1768,"Graft, vascular"
C1769,Guide wire
C1770,"Imaging coil, MR, insertable"
C1771,"Rep dev, urinary, w/sling"
C1772,"Infusion pump, programmable"
C1773,"Ret dev, insertable"
C1776,Joint device (implantable)
C1777,"Lead, AICD, endo single coil"
C1778,"Lead, neurostimulator"
C1780,"Lens, intraocular (new tech)"
C1781,Mesh (implantable)
C1782,Morcellator
C1783,"Ocular imp, aqueous drain de"
C1784,"Ocular dev, intraop, det ret"
C1785,"Pmkr, dual, rate-resp"
C1786,"Pmkr, single, rate-resp"
C1787,"Patient progr, neurostim"
C1788,"Port, indwelling, imp"
C1789,"Prosthesis, breast, imp"
C1813,"Prosthesis, penile, inflatab"
C1814,"Retinal tamp, silicone oil"
C1815,"Pros, urinary sph, imp"
C1816,"Receiver/transmitter, neuro"
C1817,Septal defect imp sys
C1818,Integrated keratoprosthesis
C1819,Tissue localization-excision
C1821,Interspinous implant
C1830,Power bone marrow bx needle
C1840,Telescopic intraocular lens
C1841,Retinal prosth int/ext comp
C1874,"Stent, coated/cov w/del sys"
C1875,"Stent, coated/cov w/o del sy"
C1876,"Stent, non-coa/non-cov w/del"
C1877,"Stent, non-coat/cov w/o del"
C1878,Matrl for vocal cord
C1880,Vena cava filter
C1881,Dialysis access system
C1882,"AICD, other than sing/dual"
C1883,"Adapt/ext, pacing/neuro lead"
C1884,Embolization Protect syst
C1885,"Cath, translumin angio laser"
C1886,"Catheter, ablation"
C1887,"Catheter, guiding"
C1888,Endovas non-cardiac abl cath
C1891,"Infusion pump,non-prog, perm"
C1892,"Intro/sheath,fixed,peel-away"
C1893,"Intro/sheath, fixed,non-peel"
C1894,"Intro/sheath, non-laser"
C1895,"Lead, AICD, endo dual coil"
C1896,"Lead, AICD, non sing/dual"
C1897,"Lead, neurostim test kit"
C1899,"Lead, pmkr/AICD combination"
C1900,"Lead, coronary venous"
C2613,Lung bx plug w/del sys
C2614,"Probe, perc lumb disc"
C2615,"Sealant, pulmonary, liquid"
C2616,"Brachytx non-str, Y-90"
C2617,"Stent, non-cor, tem w/o del"
C2618,"Probe/needle, cryo"
C2619,"Pmkr, dual, non rate-resp"
C2620,"Pmkr, single, non rate-resp"
C2621,"Pmkr, other than sing/dual"
C2622,"Prosthesis, penile, non-inf"
C2623,"Cath, translumin, drug-coat"
C2624,Wireless pressure sensor
C2625,"Stent, non-cor, tem w/del sy"
C2626,"Infusion pump, non-prog,temp"
C2627,"Cath, suprapubic/cystoscopic"
C2628,"Catheter, occlusion"
C2629,"Intro/sheath, laser"
C2631,"Rep dev, urinary, w/o sling"
C2634,"Brachytx non-str, HA, I-125"
C2635,"Brachytx non-str, HA, P-103"
C2636,"Brachy linear, non-str,P-103"
C2637,"Brachytx, non-str,Yb-169"
C2638,"Brachytx, stranded, I-125"
C2639,"Brachytx, non-stranded,I-125"
C2640,"Brachytx, stranded, Pd-103"
C2641,"Brachytx, non-str, Pd-103"
C2642,"Brachytx, stranded, Cs-131"
C2643,"Brachytx, non-str, Cs-131"
C2644,Brachytx cesium-131 chloride
C2698,"Brachytx, stranded, NOS"
C2699,"Brachytx, non-stranded, NOS"
C5271,Low cost skin substitute app
C5272,Low cost skin substitute app
C5273,Low cost skin substitute app
C5274,Low cost skin substitute app
C5275,Low cost skin substitute app
C5276,Low cost skin substitute app
C5277,Low cost skin substitute app
C5278,Low cost skin substitute app
C8900,"MRA w/cont, abd"
C8901,"MRA w/o cont, abd"
C8902,"MRA w/o fol w/cont, abd"
C8903,"MRI w/cont, breast, uni"
C8904,"MRI w/o cont, breast, uni"
C8905,"MRI w/o fol w/cont, brst, un"
C8906,"MRI w/cont, breast, bi"
C8907,"MRI w/o cont, breast, bi"
C8908,"MRI w/o fol w/cont, breast"
C8909,"MRA w/cont, chest"
C8910,"MRA w/o cont, chest"
C8911,"MRA w/o fol w/cont, chest"
C8912,"MRA w/cont, lwr ext"
C8913,"MRA w/o cont, lwr ext"
C8914,"MRA w/o fol w/cont, lwr ext"
C8918,"MRA w/cont, pelvis"
C8919,"MRA w/o cont, pelvis"
C8921,TTE w or w/o fol w/cont comp
C8922,TTE w or w/o fol w/cont comp
C8931,"MRA, w/dye, spinal canal"
C8932,"MRA, w/o dye, spinal canal"
C8933,"MRA, w/o&w/dye, spinal canal"
C8934,"MRA, w/dye, upper extremity"
C8935,"MRA, w/o dye, upper extr"
C8936,"MRA, w/o&w/dye, upper extr"
C8957,"Prolonged IV inf, req pump"
C9021,"Injection, obinutuzumab"
C9022,"Injection, elosulfase alfa"
C9023,Inj testosterone undecanoate
C9113,"Inj pantoprazole sodium, via"
C9133,Factor IX recombinant
C9134,Factor XIII A-subunit recomb
C9135,Factor IX (Alprolix)
C9136,Factor VIII (ELOCTATE)
C9248,"Inj, clevidipine butyrate"
C9254,"Injection, lacosamide"
C9257,Bevacizumab injection
C9275,Hexaminolevulinate HCl
C9285,"Patch, lidocaine/tetracaine"
C9290,"Inj, bupivacaine liposome"
C9293,"Injection, glucarpidase"
C9399,Unclassified drugs or biolog
C9447,"Inj, phenylephrine ketorolac"
C9448,Oral netupitant palonosetron
C9497,"Loxapine, inhalation powder"
C9604,Perc d-e cor revasc t CABG s
C9605,Perc d-e cor revasc t CABG b
C9606,Perc d-e cor revasc w AMI s
C9607,Perc d-e cor revasc chro sin
C9608,Perc d-e cor revasc chro add
C9725,Place endorectal app
C9726,Rxt breast appl place/remov
C9727,Insert palate implants
C9733,Non-ophthalmic FVA
C9735,"Anoscopy, submucosal inj"
C9737,Lap esoph augmentation
C9739,Cystoscopy prostatic imp 1-3
C9740,Cystoscopy prostatic imp >=4
C9741,Impl pressure sensor w/angio
C9898,Inpnt stay radiolabeled item
C9899,"Inpt implant pros dev,no cov"
E0100,Cane adjust/fixed with tip
E0105,Cane adjust/fixed quad/3 pro
E0110,Crutch forearm pair
E0111,Crutch forearm each
E0112,Crutch underarm pair wood
E0113,Crutch underarm each wood
E0114,Crutch underarm pair no wood
E0116,Crutch underarm each no wood
E0117,Underarm springassist crutch
E0118,Crutch substitute
E0130,Walker rigid adjust/fixed ht
E0135,Walker folding adjust/fixed
E0140,Walker w trunk support
E0141,Rigid wheeled walker adj/fix
E0143,Walker folding wheeled w/o s
E0144,Enclosed walker w rear seat
E0147,Walker variable wheel resist
E0148,Heavyduty walker no wheels
E0149,Heavy duty wheeled walker
E0153,Forearm crutch platform atta
E0154,Walker platform attachment
E0155,"Walker wheel attachment,pair"
E0156,Walker seat attachment
E0157,Walker crutch attachment
E0158,Walker leg extenders set of4
E0159,Brake for wheeled walker
E0160,Sitz type bath or equipment
E0161,Sitz bath/equipment w/faucet
E0162,Sitz bath chair
E0163,Commode chair with fixed arm
E0165,Commode chair with detacharm
E0167,Commode chair pail or pan
E0168,Heavyduty/wide commode chair
E0170,Commode chair electric
E0171,Commode chair non-electric
E0172,Seat lift mechanism toilet
E0175,Commode chair foot rest
E0181,Press pad alternating w/ pum
E0182,"Replace pump, alt press pad"
E0184,Dry pressure mattress
E0185,Gel pressure mattress pad
E0186,Air pressure mattress
E0187,Water pressure mattress
E0188,Synthetic sheepskin pad
E0189,Lambswool sheepskin pad
E0190,Positioning cushion
E0191,Protector heel or elbow
E0193,Powered air flotation bed
E0194,Air fluidized bed
E0196,Gel pressure mattress
E0197,Air pressure pad for mattres
E0198,Water pressure pad for mattr
E0199,Dry pressure pad for mattres
E0200,Heat lamp without stand
E0202,Phototherapy light w/ photom
E0203,Therapeutic lightbox tabletp
E0205,Heat lamp with stand
E0210,Electric heat pad standard
E0215,Electric heat pad moist
E0217,Water circ heat pad w pump
E0218,Water circ cold pad w pump
E0221,Infrared heating pad system
E0225,Hydrocollator unit
E0232,Warming card for NWT
E0236,Pump for water circulating
E0239,Hydrocollator unit portable
E0240,Bath/shower chair
E0241,Bath tub wall rail
E0242,Bath tub rail floor
E0243,Toilet rail
E0244,Toilet seat raised
E0245,Tub stool or bench
E0246,Transfer tub rail attachment
E0247,Trans bench w/wo comm open
E0248,HDtrans bench w/wo comm open
E0249,Pad water circulating heat u
E0250,Hosp bed fixed ht w/ mattres
E0251,Hosp bed fixd ht w/o mattres
E0255,Hospital bed var ht w/ mattr
E0256,Hospital bed var ht w/o matt
E0260,Hosp bed semi-electr w/ matt
E0261,Hosp bed semi-electr w/o mat
E0265,Hosp bed total electr w/ mat
E0266,Hosp bed total elec w/o matt
E0271,Mattress innerspring
E0272,Mattress foam rubber
E0273,Bed board
E0274,Over-bed table
E0275,Bed pan standard
E0276,Bed pan fracture
E0277,Powered pres-redu air mattrs
E0280,Bed cradle
E0290,Hosp bed fx ht w/o rails w/m
E0291,Hosp bed fx ht w/o rail w/o
E0292,Hosp bed var ht w/o rail w/o
E0293,Hosp bed var ht w/o rail w/
E0294,Hosp bed semi-elect w/ mattr
E0295,Hosp bed semi-elect w/o matt
E0297,Hosp bed total elect w/o mat
E0300,Enclosed ped crib hosp grade
E0301,"HD hosp bed, 350-600 lbs"
E0302,Ex HD hosp bed > 600 lbs
E0303,Hosp bed hvy dty xtra wide
E0304,Hosp bed xtra hvy dty x wide
E0305,Rails bed side half length
E0310,Rails bed side full length
E0315,Bed accessory brd/tbl/supprt
E0316,Bed safety enclosure
E0325,Urinal male jug-type
E0326,Urinal female jug-type
E0328,"Ped hospital bed, manual"
E0329,Ped hospital bed semi/elect
E0350,Control unit bowel system
E0352,Disposable pack w/bowel syst
E0370,Air elevator for heel
E0371,Nonpower mattress overlay
E0372,Powered air mattress overlay
E0373,Nonpowered pressure mattress
E0424,Stationary compressed gas 02
E0425,Gas system stationary compre
E0430,Oxygen system gas portable
E0431,Portable gaseous 02
E0433,Portable liquid oxygen sys
E0434,Portable liquid 02
E0435,Oxygen system liquid portabl
E0439,Stationary liquid 02
E0440,Oxygen system liquid station
E0441,"Stationary O2 contents, gas"
E0442,"Stationary O2 contents, liq"
E0443,"Portable 02 contents, gas"
E0444,"Portable O2 contents, liquid"
E0445,Oximeter non-invasive
E0446,"Topical OxDeliver sys, nos"
E0455,Oxygen tent excl croup/ped t
E0457,Chest shell
